tree_ID,family,block,endo_trt,rust_trt
1161,ENDO-160,1,EMF,Yes
1162,ENDO-155,2,EMF,Yes
1163,ENDO-155,2,EMF,Yes
1164,ENDO-155,2,EMF,Yes
1165,ENDO-155,2,EMF,Yes
1166,ENDO-155,2,EMF,Yes
1167,ENDO-155,2,EMF,Yes
1168,ENDO-155,2,EMF,Yes
1169,ENDO-159,2,EMF,Yes
1170,ENDO-159,2,EMF,Yes
1171,ENDO-159,2,EMF,Yes
1172,ENDO-159,2,EMF,Yes
1173,ENDO-159,2,EMF,Yes
1174,ENDO-160,2,EMF,Yes
1175,ENDO-160,2,EMF,Yes
1176,ENDO-160,2,EMF,Yes
1177,ENDO-160,2,EMF,Yes
1178,ENDO-158,2,EMF,Yes
1179,ENDO-158,2,EMF,Yes
1180,ENDO-158,2,EMF,Yes
1181,ENDO-158,2,EMF,Yes
1182,ENDO-158,2,EMF,Yes
1183,ENDO-158,2,EMF,Yes
1184,ENDO-158,2,EMF,Yes
1185,ENDO-156,2,EMF,Yes
1186,ENDO-156,2,EMF,Yes
1187,ENDO-156,2,EMF,Yes
1188,ENDO-156,2,EMF,Yes
1189,ENDO-156,2,EMF,Yes
1190,ENDO-157,2,EMF,Yes
1191,ENDO-157,2,EMF,Yes
1192,ENDO-157,2,EMF,Yes
1193,ENDO-157,2,EMF,Yes
1194,ENDO-155,3,EMF,Yes
1195,ENDO-155,3,EMF,Yes
1196,ENDO-155,3,EMF,Yes
1197,ENDO-155,3,EMF,Yes
1198,ENDO-155,3,EMF,Yes
1199,ENDO-155,3,EMF,Yes
1200,ENDO-155,3,EMF,Yes
1201,ENDO-157,3,EMF,Yes
1202,ENDO-157,3,EMF,Yes
1203,ENDO-157,3,EMF,Yes
1204,ENDO-157,3,EMF,Yes
1205,ENDO-159,3,EMF,Yes
1206,ENDO-159,3,EMF,Yes
1207,ENDO-159,3,EMF,Yes
1208,ENDO-159,3,EMF,Yes
1209,ENDO-159,3,EMF,Yes
1210,ENDO-158,3,EMF,Yes
1211,ENDO-158,3,EMF,Yes
1212,ENDO-158,3,EMF,Yes
1213,ENDO-158,3,EMF,Yes
1214,ENDO-158,3,EMF,Yes
1215,ENDO-158,3,EMF,Yes
1216,ENDO-156,3,EMF,Yes
1217,ENDO-156,3,EMF,Yes
1218,ENDO-156,3,EMF,Yes
1219,ENDO-156,3,EMF,Yes
1220,ENDO-156,3,EMF,Yes
1221,ENDO-160,3,EMF,Yes
1222,ENDO-160,3,EMF,Yes
1223,ENDO-160,3,EMF,Yes
1224,ENDO-160,3,EMF,Yes
1225,ENDO-160,3,EMF,Yes
1226,ENDO-158,4,EMF,Yes
1227,ENDO-158,4,EMF,Yes
1228,ENDO-158,4,EMF,Yes
1229,ENDO-158,4,EMF,Yes
1230,ENDO-158,4,EMF,Yes
1231,ENDO-158,4,EMF,Yes
1232,ENDO-158,4,EMF,Yes
1233,ENDO-157,4,EMF,Yes
1234,ENDO-157,4,EMF,Yes
