tree_ID,year,treatment,assessment,block,family,class,compound,mass_type,mass
1034,2019,FFE,pre_rust,2,ENDO-160,diterpene,levopiramic,dw,100.573
1034,2019,FFE,pre_rust,2,ENDO-160,diterpene,sandaracopiramic,dw,4.047
1034,2019,FFE,pre_rust,2,ENDO-160,diterpene,neoabietic,dw,0.374
1034,2019,FFE,pre_rust,2,ENDO-160,diterpene,palustric,dw,2.329
1034,2019,FFE,pre_rust,2,ENDO-160,diterpene,abietic,dw,1.229
1035,2019,FFE,pre_rust,2,ENDO-160,diterpene,dehydroabietic,dw,0.251
1035,2019,FFE,pre_rust,2,ENDO-160,diterpene,levopiramic,dw,17.759
1035,2019,FFE,pre_rust,2,ENDO-160,diterpene,sandaracopiramic,dw,2.597
1035,2019,FFE,pre_rust,2,ENDO-160,diterpene,neoabietic,dw,0.407
1035,2019,FFE,pre_rust,2,ENDO-160,diterpene,palustric,dw,2.662
1035,2019,FFE,pre_rust,2,ENDO-160,diterpene,abietic,dw,0.814
1040,2019,FFE,pre_rust,2,ENDO-158,diterpene,dehydroabietic,dw,0.464
1040,2019,FFE,pre_rust,2,ENDO-158,diterpene,levopiramic,dw,11.227
1040,2019,FFE,pre_rust,2,ENDO-158,diterpene,sandaracopiramic,dw,3.794
1040,2019,FFE,pre_rust,2,ENDO-158,diterpene,neoabietic,dw,0.417
1040,2019,FFE,pre_rust,2,ENDO-158,diterpene,palustric,dw,2.322
1040,2019,FFE,pre_rust,2,ENDO-158,diterpene,abietic,dw,1.9
1041,2019,FFE,pre_rust,2,ENDO-158,diterpene,dehydroabietic,dw,0.354
1041,2019,FFE,pre_rust,2,ENDO-158,diterpene,levopiramic,dw,8.522
1041,2019,FFE,pre_rust,2,ENDO-158,diterpene,sandaracopiramic,dw,4.064
1041,2019,FFE,pre_rust,2,ENDO-158,diterpene,neoabietic,dw,0.66
1041,2019,FFE,pre_rust,2,ENDO-158,diterpene,palustric,dw,4.657
1041,2019,FFE,pre_rust,2,ENDO-158,diterpene,abietic,dw,1.436
1046,2019,FFE,pre_rust,2,ENDO-155,diterpene,dehydroabietic,dw,0.175
1046,2019,FFE,pre_rust,2,ENDO-155,diterpene,levopiramic,dw,0
1046,2019,FFE,pre_rust,2,ENDO-155,diterpene,sandaracopiramic,dw,0.757
1046,2019,FFE,pre_rust,2,ENDO-155,diterpene,neoabietic,dw,0.247
1046,2019,FFE,pre_rust,2,ENDO-155,diterpene,palustric,dw,1.599
1046,2019,FFE,pre_rust,2,ENDO-155,diterpene,abietic,dw,1.042
1048,2019,FFE,pre_rust,2,ENDO-155,diterpene,dehydroabietic,dw,0.425
1048,2019,FFE,pre_rust,2,ENDO-155,diterpene,levopiramic,dw,4.576
1048,2019,FFE,pre_rust,2,ENDO-155,diterpene,sandaracopiramic,dw,1.783
1048,2019,FFE,pre_rust,2,ENDO-155,diterpene,neoabietic,dw,0.559
1048,2019,FFE,pre_rust,2,ENDO-155,diterpene,palustric,dw,3.999
1048,2019,FFE,pre_rust,2,ENDO-155,diterpene,abietic,dw,1.221
1052,2019,FFE,pre_rust,2,ENDO-157,diterpene,dehydroabietic,dw,0.315
1052,2019,FFE,pre_rust,2,ENDO-157,diterpene,levopiramic,dw,50.693
1052,2019,FFE,pre_rust,2,ENDO-157,diterpene,sandaracopiramic,dw,2.841
1052,2019,FFE,pre_rust,2,ENDO-157,diterpene,neoabietic,dw,0.273
1052,2019,FFE,pre_rust,2,ENDO-157,diterpene,palustric,dw,1.884
1052,2019,FFE,pre_rust,2,ENDO-157,diterpene,abietic,dw,0.736
