tree_ID,inoc_dens,ht6,dm6,sv6,alive6,vig6,ht5,dm5,sv5,vig5,bi5,nc5,pbr5,br5,ss5,dm4,sv4,ss4,dm3,sv3,vig3,bi3,nc3,pbr3,br3,ss3,ht1
1040,3720,55,4,3,Yes,1,32,0,0,1,0,0,0,0,0,4,1,1,4,1,1,0,1,0,0,1,20
1041,3720,NA,4,9,No,3,24.5,4,4,1,1,3,0,0,3,4,4,3,4,1,2,1,1,1,0,2,13.6
1042,3720,45,4,7,Yes,6,33,4,3,1,7,5,5,0,10,4,3,5,0,0,1,0,0,0,0,0,15.3
1043,3720,35,4,7,Yes,2,23.5,4,4,1,3,3,0,0,3,4,5,3,0,0,1,0,0,0,0,0,12
1044,3720,51,0,0,Yes,1,32,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15.6
1045,3720,NA,4,9,No,3,29,4,3,1,2,2,0,0,2,4,5,2,0,0,1,0,0,0,0,0,16.2
1046,3720,NA,4,9,No,3,20,4,3,1,1,3,0,0,3,4,5,3,4,1,1,0,2,0,0,2,13.6
1047,3720,36.5,4,4,Yes,1,21,4,2,1,2,0,2,0,2,4,1,2,0,0,1,0,0,0,0,0,12.2
1048,3720,44,4,2,Yes,1,24,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.6
1049,3720,NA,4,9,No,3,16.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4
1050,3720,NA,4,9,No,3,28.5,4,4,1,2,3,0,0,3,4,5,3,4,1,1,0,1,0,0,1,16
1051,3720,NA,4,9,No,3,27,4,7,1,7,7,0,0,7,4,7,7,4,3,1,2,2,0,0,2,16.3
1052,3720,24,0,0,Yes,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.3
1053,3720,36.5,0,0,Yes,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.2
1054,3720,NA,4,9,No,3,26,4,4,1,4,5,0,0,5,4,5,4,4,2,1,0,2,0,0,2,14.9
1055,3720,44,4,8,Yes,6,29,4,7,1,7,7,0,0,7,4,7,7,0,0,1,0,0,0,0,0,16.5
1056,3720,NA,4,9,No,3,20,4,6,1,2,5,0,0,5,4,6,3,4,1,1,1,0,0,0,0,10.5
1057,3720,NA,4,9,No,3,23,4,7,1,9,9,0,0,9,4,8,9,4,3,1,3,5,0,0,5,14.1
1058,3720,36,4,8,Yes,6,26.5,4,7,1,6,9,0,0,9,4,7,9,4,3,1,6,6,0,0,6,14.4
1059,3720,47,0,0,Yes,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9
1060,3720,51.5,0,0,Yes,1,21.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.9
1061,3720,50,0,0,Yes,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16.2
1062,3720,33,4,1,Yes,1,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
