tree_ID,ht6,ht5,ht1
1266,60.5,35,16
1267,31.5,27.5,15.6
1268,42.5,32,18.9
1269,27.5,26.5,19
1270,NA,NA,9
1271,35.5,30.5,22.2
1272,24,22,14
1273,21,20,9.5
1274,32.5,31,18.6
1275,26,24,14.4
1276,26,26,13.4
1277,31.5,28.5,14.8
1278,20,20,12.5
1279,23,22,11.9
1280,19.5,19.5,9
1281,17.5,12,5.5
1282,28,21.5,11.6
1283,48.5,21.5,10.9
1284,49,30,15
1285,54.5,29,14.5
1286,56,28.5,13.2
1287,49,26.5,18.3
1288,31,27.5,17.2
1289,47,28.5,13.5
1290,29,19,8
1291,33,31,15.4
1292,41,29,13.9
1293,30.5,29.5,16.5
1294,28,27,11.7
1295,40,29,14.3
1296,44.5,26,14
1297,47.5,28,14.1
1298,62,38.5,17.5
1299,34.5,30,16.8
1300,28,28,15.3
1301,13,13,11.8
1302,30,29,14.5
1303,22,21,10.4
1304,20.5,19.5,9.5
1305,NA,NA,8.6
1306,50.5,31,14.9
1307,63.5,38,15.9
1308,38,31.5,16.9
1309,28,20,13.3
1310,40,24,12
1311,49.5,27,11.6
1312,49.5,32,16.5
1313,35,23,12
1314,35,28,15.9
1315,38.5,28.5,14.5
1316,38,29,16.5
1317,59.5,29.5,13.4
1318,50.5,24,16.8
1319,51.5,31,15.2
1320,45,24.5,13.4
1321,45,28,13.5
1322,45,37.5,17.6
1323,53.5,29.6,12.7
1324,66,33.5,17
1325,52,37,15
1326,19.5,18,12
1327,44,35.2,17
1328,46,37.1,15.9
1329,46.5,34,19.3
1330,33.5,31.9,17.2
1331,43,31.8,15
1332,51.5,38.2,18.2
1333,23,NA,15
1334,29.5,29.5,14
1335,26.5,26.2,17.2
1336,48.5,34.1,23.2
1337,28,27.7,15.8
1338,32.5,27.8,15.5
1339,73,46,14.4
1340,62.5,32.7,12.9
1341,24,22.8,12.8
1342,55.5,33.6,12.1
1343,59.5,39.2,12.5
1344,59.5,29.5,9.8
1345,9,9,6.6
1346,38,31,15.5
1347,22,18.7,10.9
1348,34.5,27.6,16.5
1349,21,19.5,13
1350,24.5,15.5,12.4
1351,14.5,13.9,10.1
1352,28.5,16,13
1353,41,26.7,13.6
1354,38.5,30.5,13.6
1355,28.5,22,13.6
1356,58,31,14.6
1357,38,27.3,10
1358,44,30.5,14.5
1359,29.5,29.5,16.9
1360,27.5,29,13
1361,38,37.5,22.7
1362,33,31,23.6
1363,9.5,NA,8.8
1364,42,26,12.3
1365,45,19.5,14.2
1366,69,30.9,16.9
1367,59.5,31,12
1368,29.5,19.5,12.4
1369,26,26,13
1370,15,14.5,9.9
1371,37.5,16.5,12.5
1372,53,34,13.5
1373,53.5,35.5,13.6
1374,31.5,25,14.2
1375,30.5,17.6,10.8
1376,50.5,25.5,12.5
1377,51.5,27.4,14
1378,71,34.6,14
1379,21.5,17.5,11.9
1380,51,39,19.1
1381,57.5,30.5,13.2
1382,26,25.5,14.5
1383,26.5,22.3,12
1384,33.5,26,14
1385,47.5,27.5,11.7
1386,26.5,17.5,14.8
1387,33.5,32.5,13.3
1388,44,34.5,16
1389,35,19,9.5
1390,67.5,41,21.4
1391,48,27,15.1
1392,46,30.5,17.7
1393,42.5,25,16.5
1394,72,33.5,15
1395,55,28,13
1396,44.5,32,19
1397,26,26,13.6
1398,31,30.5,15.5
1399,30.5,30,13.5
1400,39,25.5,13.5
1401,40.5,34,24.5
1402,24,23,14.6
1403,22.5,21.5,14
1404,21,21,12.8
1405,33.5,25,10.6
1406,22.5,21.5,12.5
1407,55,33,14.5
1408,NA,15.5,7.4
1409,23,22,9.9
1410,35,22,13.5
1411,27,20,12.6
1412,36.5,17.5,13
1413,42.5,20,9.5
1414,50.5,27.5,15
1415,51,23,12.5
1416,50,26.5,13.7
1417,38,21.5,8.9
1418,16,15,6
1419,20.5,17,13
1420,24.5,22.5,11.4
1421,29.5,29,16.9
1422,36.5,21,11.1
1423,44.5,22,10
1424,44,21.5,12.9
1425,48.5,27,12.2
1426,58.5,32,9.4
1427,51.5,34.5,12.1
1428,52,33,17.5
1429,28,27.5,14
1430,22,22,11.8
1431,NA,NA,11.4
1432,30.5,30,14
1433,30.5,25,9.5
1434,19,11,7.9
1435,24,24,14.9
1436,37.5,32,15.4
1437,26,22,11.5
1438,36,36,19.2
1439,63.5,31,17
1440,40.5,23,11
1441,58.5,42.5,18.5
1442,41.5,28.5,16
1443,41.5,28,15
1444,38,32,17.2
1445,51.5,34,15.4
1446,40,28,13.8
1447,28.5,19,12
1448,41.5,23,11
1449,40.5,26.5,11.2
1450,33,30,17.1
1451,33.5,26.7,13
1452,NA,18.3,11
1453,36.5,27.5,12
1454,37.5,22.5,12
1455,NA,NA,10.2
1456,39.5,24,15
1457,40.5,19.1,12
1458,19,18.2,16
1459,37,30.2,15.2
1460,45.5,30.8,13.9
1461,51.5,39.3,18.6
1462,24.5,24.1,12.5
1463,46.5,31.5,12.7
1464,59.5,31,14
1465,54.5,24.4,9.6
1466,61.5,26,12.5
1467,59,39,12.3
1468,54,26.2,12.9
1469,37.5,33.3,13
1470,30,24,13.6
1471,40.5,28.1,15
1472,27.5,27,12.7
1473,25,21.1,13.4
1474,24,23.9,13
1475,46,37.1,16
1476,27.5,17.5,8.7
1477,41,26,11.5
1478,40,28,15
1479,61.5,36.5,16.8
1480,53.5,35,17
1481,35.5,25.6,12.2
1482,44.5,26.5,11.3
1483,66.5,38.5,14.5
1484,30.5,22.5,14
1485,57,33.8,12.5
1486,36,21.5,10.5
1487,49.5,33.5,13
1488,31.5,28.3,12
1489,41,40,22.5
1490,37.5,33,18.5
1491,28.5,26,16.2
1492,23.5,20,13
1493,28,24,11
1494,46.5,27.5,12.5
1495,53.5,32,14.5
1496,28.5,21,11.5
1497,44,27.5,13.2
1498,43.5,22.7,12.2
1499,27.5,20.3,17.5
1500,15.5,14.9,8.5
1501,35.5,27.5,12.5
1502,50,28,12.5
1503,38.5,23.5,17
1504,23.5,23.5,13.5
1505,24.5,14,12
1506,47,30.7,14.1
1507,18,14.5,10.5
1508,25.5,14,10.5
1509,51.5,33.5,14.4
1510,35,24.3,12
1511,55,36.5,13.9
1512,13.5,11,9.5
1513,43,17.2,13.5
1514,48.5,24.8,10.7
1515,41,25.4,10.9
1516,43,26.3,12.5
1517,50,26.3,11.1
1518,61,40.2,16.8
1519,42.5,24.4,11.2
1520,NA,NA,14.1
1521,81.5,39.3,12.5
1522,63.5,30.3,13.3
1523,85,40,13.8
1524,59.5,27.1,9
1525,40,22,10
1526,62.5,38,15.4
1527,67,39,19.5
1528,48,32.5,12.2
1529,38.5,29,13.9
1530,49.5,25.8,11.9
1531,44,28.2,13
1532,50.5,29.9,15.5
1533,40,25.2,12.6
1534,32.5,29.5,12.6
1535,60.5,31,13.4
1536,52.5,29.4,13
1537,47.5,27,14.5
1538,56.5,27,11.4
1539,60.5,25.9,13.3
1540,52.5,21.8,9
1541,59,32,13.1
1542,68,35,16.5
1543,71.5,38.5,14.9
